nominal_target_far,r_y_maximum_far,r_u_maximum_far,joint_maximum_far
0.005,0.016875,0.12613636363636363,0.023125
0.01,0.025833333333333333,0.14072916666666666,0.042395833333333334
0.02,0.04,0.22294642857142857,0.09875
0.05,0.07473214285714286,0.32517857142857143,0.13294642857142858
