calibration_controller,C01,C02,C03,C04,C05,C06,C07,C08,C09
C01,0.012604166666666666,0.005681818181818182,0.001875,0.0014583333333333334,0.00075,0.00025,0.0008333333333333334,0.0034375,0.00075
C02,0.017604166666666667,0.009943181818181818,0.012946428571428572,0.006666666666666667,0.00625,0.00525,0.007083333333333333,0.0153125,0.00475
C03,0.016354166666666666,0.007897727272727273,0.010089285714285714,0.004895833333333334,0.00575,0.0045,0.006458333333333333,0.011875,0.00375
C04,0.042395833333333334,0.033068181818181816,0.03678571428571428,0.010416666666666666,0.01,0.0085,0.012083333333333333,0.030625,0.01125
