channel,pair_count,median_far,q95_far,maximum_far,maximum_absolute_error
r_y,32,0.005,0.023676339285714283,0.025833333333333333,0.01583333333333333
r_u,32,0.0003348214285714286,0.0776128246753246,0.14072916666666666,0.13072916666666665
joint,32,0.006562500000000001,0.03474107142857143,0.042395833333333334,0.03239583333333333
