calibration_controller,C01,C02,C03,C04,C05,C06,C07,C08,C09
C01,0.011979166666666667,0.005,0.002142857142857143,0.0009375,0.00075,0.00075,0.00020833333333333335,0.003125,0.0
C02,0.015416666666666667,0.009886363636363636,0.005892857142857143,0.004583333333333333,0.003,0.004,0.0020833333333333333,0.008125,0.002
C03,0.016979166666666667,0.011477272727272727,0.015446428571428571,0.005208333333333333,0.0035,0.005,0.0022916666666666667,0.009375,0.00225
C04,0.025833333333333333,0.021988636363636363,0.02473214285714286,0.009791666666666667,0.01,0.0085,0.009375,0.0228125,0.009
