method,r_y,r_u,joint
SINGLE_CONTROLLER_TRANSFER,0.025833333333333333,0.14072916666666666,0.042395833333333334
POOLED_GLOBAL,0.018020833333333333,0.0234375,0.0175
BALANCED_GLOBAL,0.022604166666666668,0.034791666666666665,0.019791666666666666
LOCO_POOLED,0.018541666666666668,0.0271875,0.018645833333333334
LOCO_BALANCED,0.023854166666666666,0.0384375,0.022395833333333334
