method,evaluation_controller,calibration_controller,channel,evaluation_samples,exceedance_count
SINGLE_CONTROLLER_TRANSFER,C07,C01,r_y,4800,1
SINGLE_CONTROLLER_TRANSFER,C07,C01,r_u,4800,0
SINGLE_CONTROLLER_TRANSFER,C07,C01,joint,4800,4
SINGLE_CONTROLLER_TRANSFER,C08,C01,r_y,3200,10
SINGLE_CONTROLLER_TRANSFER,C08,C01,r_u,3200,1
SINGLE_CONTROLLER_TRANSFER,C08,C01,joint,3200,11
SINGLE_CONTROLLER_TRANSFER,C09,C01,r_y,4000,0
SINGLE_CONTROLLER_TRANSFER,C09,C01,r_u,4000,0
SINGLE_CONTROLLER_TRANSFER,C09,C01,joint,4000,3
SINGLE_CONTROLLER_TRANSFER,C01,C02,r_y,9600,148
SINGLE_CONTROLLER_TRANSFER,C01,C02,r_u,9600,137
SINGLE_CONTROLLER_TRANSFER,C01,C02,joint,9600,169
SINGLE_CONTROLLER_TRANSFER,C03,C02,r_y,11200,66
SINGLE_CONTROLLER_TRANSFER,C03,C02,r_u,11200,20
SINGLE_CONTROLLER_TRANSFER,C03,C02,joint,11200,145
SINGLE_CONTROLLER_TRANSFER,C04,C02,r_y,9600,44
SINGLE_CONTROLLER_TRANSFER,C04,C02,r_u,9600,0
SINGLE_CONTROLLER_TRANSFER,C04,C02,joint,9600,64
SINGLE_CONTROLLER_TRANSFER,C05,C02,r_y,4000,12
SINGLE_CONTROLLER_TRANSFER,C05,C02,r_u,4000,0
SINGLE_CONTROLLER_TRANSFER,C05,C02,joint,4000,25
SINGLE_CONTROLLER_TRANSFER,C06,C02,r_y,4000,16
SINGLE_CONTROLLER_TRANSFER,C06,C02,r_u,4000,0
SINGLE_CONTROLLER_TRANSFER,C06,C02,joint,4000,21
SINGLE_CONTROLLER_TRANSFER,C07,C02,r_y,4800,10
SINGLE_CONTROLLER_TRANSFER,C07,C02,r_u,4800,0
SINGLE_CONTROLLER_TRANSFER,C07,C02,joint,4800,34
SINGLE_CONTROLLER_TRANSFER,C08,C02,r_y,3200,26
SINGLE_CONTROLLER_TRANSFER,C08,C02,r_u,3200,6
SINGLE_CONTROLLER_TRANSFER,C08,C02,joint,3200,49
SINGLE_CONTROLLER_TRANSFER,C09,C02,r_y,4000,8
SINGLE_CONTROLLER_TRANSFER,C09,C02,r_u,4000,0
SINGLE_CONTROLLER_TRANSFER,C09,C02,joint,4000,19
SINGLE_CONTROLLER_TRANSFER,C01,C03,r_y,9600,163
SINGLE_CONTROLLER_TRANSFER,C01,C03,r_u,9600,213
SINGLE_CONTROLLER_TRANSFER,C01,C03,joint,9600,157
SINGLE_CONTROLLER_TRANSFER,C02,C03,r_y,17600,202
SINGLE_CONTROLLER_TRANSFER,C02,C03,r_u,17600,288
SINGLE_CONTROLLER_TRANSFER,C02,C03,joint,17600,139
SINGLE_CONTROLLER_TRANSFER,C04,C03,r_y,9600,50
SINGLE_CONTROLLER_TRANSFER,C04,C03,r_u,9600,0
SINGLE_CONTROLLER_TRANSFER,C04,C03,joint,9600,47
SINGLE_CONTROLLER_TRANSFER,C05,C03,r_y,4000,14
SINGLE_CONTROLLER_TRANSFER,C05,C03,r_u,4000,0
SINGLE_CONTROLLER_TRANSFER,C05,C03,joint,4000,23
SINGLE_CONTROLLER_TRANSFER,C06,C03,r_y,4000,20
SINGLE_CONTROLLER_TRANSFER,C06,C03,r_u,4000,5
SINGLE_CONTROLLER_TRANSFER,C06,C03,joint,4000,18
SINGLE_CONTROLLER_TRANSFER,C07,C03,r_y,4800,11
SINGLE_CONTROLLER_TRANSFER,C07,C03,r_u,4800,0
SINGLE_CONTROLLER_TRANSFER,C07,C03,joint,4800,31
SINGLE_CONTROLLER_TRANSFER,C08,C03,r_y,3200,30
SINGLE_CONTROLLER_TRANSFER,C08,C03,r_u,3200,20
SINGLE_CONTROLLER_TRANSFER,C08,C03,joint,3200,38
SINGLE_CONTROLLER_TRANSFER,C09,C03,r_y,4000,9
SINGLE_CONTROLLER_TRANSFER,C09,C03,r_u,4000,0
SINGLE_CONTROLLER_TRANSFER,C09,C03,joint,4000,15
SINGLE_CONTROLLER_TRANSFER,C01,C04,r_y,9600,248
SINGLE_CONTROLLER_TRANSFER,C01,C04,r_u,9600,1351
SINGLE_CONTROLLER_TRANSFER,C01,C04,joint,9600,407
SINGLE_CONTROLLER_TRANSFER,C02,C04,r_y,17600,387
SINGLE_CONTROLLER_TRANSFER,C02,C04,r_u,17600,2298
SINGLE_CONTROLLER_TRANSFER,C02,C04,joint,17600,582
SINGLE_CONTROLLER_TRANSFER,C03,C04,r_y,11200,277
SINGLE_CONTROLLER_TRANSFER,C03,C04,r_u,11200,384
SINGLE_CONTROLLER_TRANSFER,C03,C04,joint,11200,412
SINGLE_CONTROLLER_TRANSFER,C05,C04,r_y,4000,40
