degradation_mode,severity_fraction,strategy,evaluation_controller,channel,evaluation_cycles,evaluation_samples,quantity,exceedance_count
A_reduction,0.0,DURATION_POOLED_LOCO,C05,r_y,5,4000,experimental healthy sample FAR,15
A_reduction,0.0,DURATION_POOLED_LOCO,C05,r_u,5,4000,experimental healthy sample FAR,0
A_reduction,0.0,DURATION_POOLED_LOCO,C05,joint,5,4000,experimental healthy sample FAR,22
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C06,r_y,5,4000,experimental healthy sample FAR,40
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C06,r_u,5,4000,experimental healthy sample FAR,41
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C06,joint,5,4000,experimental healthy sample FAR,41
A_reduction,0.0,DURATION_POOLED_GLOBAL,C06,r_y,5,4000,experimental healthy sample FAR,20
A_reduction,0.0,DURATION_POOLED_GLOBAL,C06,r_u,5,4000,experimental healthy sample FAR,6
A_reduction,0.0,DURATION_POOLED_GLOBAL,C06,joint,5,4000,experimental healthy sample FAR,20
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C06,r_y,5,4000,experimental healthy sample FAR,28
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C06,r_u,5,4000,experimental healthy sample FAR,18
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C06,joint,5,4000,experimental healthy sample FAR,25
A_reduction,0.0,DURATION_POOLED_LOCO,C06,r_y,5,4000,experimental healthy sample FAR,20
A_reduction,0.0,DURATION_POOLED_LOCO,C06,r_u,5,4000,experimental healthy sample FAR,5
A_reduction,0.0,DURATION_POOLED_LOCO,C06,joint,5,4000,experimental healthy sample FAR,20
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C07,r_y,6,4800,experimental healthy sample FAR,50
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C07,r_u,6,4800,experimental healthy sample FAR,48
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C07,joint,6,4800,experimental healthy sample FAR,50
A_reduction,0.0,DURATION_POOLED_GLOBAL,C07,r_y,6,4800,experimental healthy sample FAR,11
A_reduction,0.0,DURATION_POOLED_GLOBAL,C07,r_u,6,4800,experimental healthy sample FAR,0
A_reduction,0.0,DURATION_POOLED_GLOBAL,C07,joint,6,4800,experimental healthy sample FAR,24
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C07,r_y,6,4800,experimental healthy sample FAR,20
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C07,r_u,6,4800,experimental healthy sample FAR,0
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C07,joint,6,4800,experimental healthy sample FAR,32
A_reduction,0.0,DURATION_POOLED_LOCO,C07,r_y,6,4800,experimental healthy sample FAR,11
A_reduction,0.0,DURATION_POOLED_LOCO,C07,r_u,6,4800,experimental healthy sample FAR,0
A_reduction,0.0,DURATION_POOLED_LOCO,C07,joint,6,4800,experimental healthy sample FAR,23
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C08,r_y,4,3200,experimental healthy sample FAR,32
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C08,r_u,4,3200,experimental healthy sample FAR,34
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C08,joint,4,3200,experimental healthy sample FAR,33
A_reduction,0.0,DURATION_POOLED_GLOBAL,C08,r_y,4,3200,experimental healthy sample FAR,34
A_reduction,0.0,DURATION_POOLED_GLOBAL,C08,r_u,4,3200,experimental healthy sample FAR,22
A_reduction,0.0,DURATION_POOLED_GLOBAL,C08,joint,4,3200,experimental healthy sample FAR,50
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C08,r_y,4,3200,experimental healthy sample FAR,47
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C08,r_u,4,3200,experimental healthy sample FAR,59
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C08,joint,4,3200,experimental healthy sample FAR,57
A_reduction,0.0,DURATION_POOLED_LOCO,C08,r_y,4,3200,experimental healthy sample FAR,34
A_reduction,0.0,DURATION_POOLED_LOCO,C08,r_u,4,3200,experimental healthy sample FAR,21
A_reduction,0.0,DURATION_POOLED_LOCO,C08,joint,4,3200,experimental healthy sample FAR,51
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C09,r_y,5,4000,experimental healthy sample FAR,40
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C09,r_u,5,4000,experimental healthy sample FAR,40
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C09,joint,5,4000,experimental healthy sample FAR,43
A_reduction,0.0,DURATION_POOLED_GLOBAL,C09,r_y,5,4000,experimental healthy sample FAR,9
A_reduction,0.0,DURATION_POOLED_GLOBAL,C09,r_u,5,4000,experimental healthy sample FAR,0
A_reduction,0.0,DURATION_POOLED_GLOBAL,C09,joint,5,4000,experimental healthy sample FAR,19
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C09,r_y,5,4000,experimental healthy sample FAR,15
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C09,r_u,5,4000,experimental healthy sample FAR,0
