nominal_target_far,source_controller,evaluation_controller,channel,evaluation_samples,exceedance_count
0.01,C04,C01,r_u,9600,1351
0.01,C04,C01,joint,9600,407
0.01,C04,C02,r_y,17600,387
0.01,C04,C02,r_u,17600,2298
0.01,C04,C02,joint,17600,582
0.01,C04,C03,r_y,11200,277
0.01,C04,C03,r_u,11200,384
0.01,C04,C03,joint,11200,412
0.01,C04,C05,r_y,4000,40
0.01,C04,C05,r_u,4000,19
0.01,C04,C05,joint,4000,40
0.01,C04,C06,r_y,4000,34
0.01,C04,C06,r_u,4000,74
0.01,C04,C06,joint,4000,34
0.01,C04,C07,r_y,4800,45
0.01,C04,C07,r_u,4800,0
0.01,C04,C07,joint,4800,58
0.01,C04,C08,r_y,3200,73
0.01,C04,C08,r_u,3200,103
0.01,C04,C08,joint,3200,98
0.01,C04,C09,r_y,4000,36
0.01,C04,C09,r_u,4000,2
0.01,C04,C09,joint,4000,45
0.02,C01,C02,r_y,17600,246
0.02,C01,C02,r_u,17600,243
0.02,C01,C02,joint,17600,230
0.02,C01,C03,r_y,11200,195
0.02,C01,C03,r_u,11200,46
0.02,C01,C03,joint,11200,264
0.02,C01,C04,r_y,9600,61
0.02,C01,C04,r_u,9600,0
0.02,C01,C04,joint,9600,84
0.02,C01,C05,r_y,4000,18
0.02,C01,C05,r_u,4000,0
0.02,C01,C05,joint,4000,31
0.02,C01,C06,r_y,4000,23
0.02,C01,C06,r_u,4000,2
0.02,C01,C06,joint,4000,29
0.02,C01,C07,r_y,4800,12
0.02,C01,C07,r_u,4800,0
0.02,C01,C07,joint,4800,41
0.02,C01,C08,r_y,3200,37
0.02,C01,C08,r_u,3200,16
0.02,C01,C08,joint,3200,62
0.02,C01,C09,r_y,4000,11
0.02,C01,C09,r_u,4000,0
0.02,C01,C09,joint,4000,31
0.02,C02,C01,r_y,9600,245
0.02,C02,C01,r_u,9600,250
0.02,C02,C01,joint,9600,249
0.02,C02,C03,r_y,11200,262
0.02,C02,C03,r_u,11200,146
0.02,C02,C03,joint,11200,394
0.02,C02,C04,r_y,9600,92
0.02,C02,C04,r_u,9600,3
