calibration_controller_count,calibration_controllers,evaluation_controller,channel,evaluation_cycle_count,pooling_method,calibration_cycle_count,selection_repetitions,unseen_controller_far
1,C02,C03,r_u,14,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0017857142857142859
1,C02,C03,r_u,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0016071428571428573
1,C02,C03,joint,14,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.012946428571428576
1,C02,C03,joint,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.012767857142857147
1,C02,C04,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.004583333333333333
1,C02,C04,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.004375
1,C02,C04,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0
1,C02,C04,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C02,C04,joint,12,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.006666666666666667
1,C02,C04,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0065625
1,C02,C05,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.003
1,C02,C05,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.003
1,C02,C05,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0
1,C02,C05,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C02,C05,joint,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.00625
1,C02,C05,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.006125
1,C02,C06,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.004
1,C02,C06,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.004
1,C02,C06,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0
1,C02,C06,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C02,C06,joint,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0052499999999999995
1,C02,C06,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0052499999999999995
1,C02,C07,r_y,6,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0020833333333333333
1,C02,C07,r_y,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0020833333333333333
1,C02,C07,r_u,6,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0
1,C02,C07,r_u,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C02,C07,joint,6,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.007083333333333334
1,C02,C07,joint,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.007187500000000001
1,C02,C08,r_y,4,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.008125
1,C02,C08,r_y,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.008125
1,C02,C08,r_u,4,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.001875
1,C02,C08,r_u,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0015625
1,C02,C08,joint,4,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0153125
1,C02,C08,joint,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01546875
1,C02,C09,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0019999999999999996
1,C02,C09,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0015
1,C02,C09,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.0
1,C02,C09,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C02,C09,joint,5,DURATION_WEIGHTED_ALL_CYCLES,22,1,0.00475
1,C02,C09,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.004875
1,C03,C01,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.016979166666666667
1,C03,C01,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.018124999999999995
1,C03,C01,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0221875
1,C03,C01,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.025364583333333333
1,C03,C01,joint,12,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.01635416666666667
1,C03,C01,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.017604166666666664
1,C03,C02,r_y,22,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.01147727272727273
1,C03,C02,r_y,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.011818181818181821
1,C03,C02,r_u,22,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.016363636363636365
1,C03,C02,r_u,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01948863636363636
1,C03,C02,joint,22,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.007897727272727275
1,C03,C02,joint,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009431818181818185
1,C03,C04,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.005208333333333333
1,C03,C04,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.005208333333333333
1,C03,C04,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0
1,C03,C04,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00015625
1,C03,C04,joint,12,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.004895833333333334
1,C03,C04,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.006354166666666668
1,C03,C05,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0035000000000000005
1,C03,C05,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00375
1,C03,C05,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0
1,C03,C05,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C03,C05,joint,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.00575
1,C03,C05,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00625
1,C03,C06,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.005
1,C03,C06,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0052499999999999995
1,C03,C06,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.00125
1,C03,C06,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00275
1,C03,C06,joint,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0045
1,C03,C06,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.005
1,C03,C07,r_y,6,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0022916666666666667
1,C03,C07,r_y,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0022916666666666667
1,C03,C07,r_u,6,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0
1,C03,C07,r_u,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C03,C07,joint,6,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.006458333333333333
1,C03,C07,joint,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0067708333333333336
1,C03,C08,r_y,4,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.009375
1,C03,C08,r_y,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.010937500000000001
1,C03,C08,r_u,4,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.00625
1,C03,C08,r_u,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01078125
1,C03,C08,joint,4,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.011875
1,C03,C08,joint,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.014687500000000001
1,C03,C09,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.00225
1,C03,C09,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00225
1,C03,C09,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.0
1,C03,C09,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C03,C09,joint,5,DURATION_WEIGHTED_ALL_CYCLES,14,1,0.00375
1,C03,C09,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.005375
1,C04,C01,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.02583333333333333
1,C04,C01,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.02583333333333333
1,C04,C01,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.14072916666666666
