run_id,controller_id,sampling_rate_Hz,number_of_complete_cycles
9,C01,200.00000000000426,2
10,C01,200.00000000000426,10
11,C02,200.00000000000426,22
12,C03,200.00000000000426,14
13,C04,200.00000000000426,6
14,C05,200.00000000000426,5
15,C06,200.00000000000426,5
16,C07,200.00000000000426,6
17,C08,200.00000000000426,4
18,C04,200.00000000000426,6
19,C09,200.00000000000426,5
